-1.#QNAN -1.#QNAN -1.#QNAN 1.70081e-040 9.47362e-041 0.00797839 0.00303519
-0.054293 -0.0769466 0.0140071 -0.0452159 0.00509513 0.00179343 0.0043352
-0.086597 -0.0791666 0.00100709 -0.0197159 0.00509513 -0.0111466 0.0043792
-0.057173 -0.0806786 0.0200071 -0.0442159 0.00509513 0.00117343 0.0010812
-0.048893 -0.0813266 0.0133591 -0.0349659 0.00509513 -0.0115266 0.0058352
-0.076613 -0.0625466 0.00132709 -0.0194659 0.00509513 0.00077343 0.0074232
-0.067625 -0.0917666 0.00697509 -0.0427159 -0.00153687 -0.00380157 -0.000378801
-0.0789338 -0.0932266 0.0269231 -0.0241259 0.0149568 -0.0166725 0.00659752
-0.107866 -0.0958066 0.00766708 -0.00837592 -0.00469918 -0.00483749 0.00458552
-0.0793058 -0.0769546 0.0146671 -0.0316759 0.00881282 -0.00963249 0.00487952
-0.0709538 -0.106967 0.0136671 -0.0224259 0.00494482 -0.00084249 0.00158152
-0.0994658 -0.0979066 0.0140191 -0.0231759 0.00543282 -0.0131575 0.00637953
-0.0904058 -0.0805546 0.000635076 -0.0226759 0.00543282 -0.00896249 0.00466952
-0.0730538 -0.110567 0.0196671 -0.0221759 -0.00119918 -0.00978749 0.00491552
-0.0827738 -0.0812146 -0.000684926 -0.0211259 0.00831282 -0.00186249 0.00495952
-0.0819938 -0.111935 0.0196991 -0.0206759 0.00494482 -0.0139375 0.00166152
-0.0819218 -0.0826546 -0.000684928 -0.0369759 0.00543282 -0.00998249 0.00645952
-0.0918306 -0.125478 0.0269335 -0.00275525 0.0057779 -0.00740874 0.00513232
-0.120763 -0.096486 0.0200615 -0.0113553 0.0057659 -0.0114587 0.00541832
-0.0914106 -0.127926 0.00802951 -0.0258552 0.0057659 -0.0110137 0.00545832
-0.103423 -0.099366 0.0140295 -0.00105525 0.0057659 -0.0112137 0.00220432
-0.102571 -0.110514 0.0130295 -0.0256053 0.0058979 -0.00306874 0.00699832
